tau,xi,v,w
0,0.1,0.1,0.1
0.05,0.0983801,0.103267,0.0999967
0.1,0.0967871,0.106535,0.0999864
0.15,0.0952209,0.109802,0.0999689
0.2,0.093681,0.11307,0.0999436
0.25,0.0921674,0.116337,0.0999103
0.3,0.0906796,0.119603,0.0998686
0.35,0.0892174,0.122869,0.0998181
0.4,0.0877805,0.126133,0.0997584
0.45,0.0863687,0.129395,0.0996893
0.5,0.0849815,0.132656,0.0996103
0.55,0.0836187,0.135914,0.0995212
0.6,0.0822799,0.13917,0.0994215
0.65,0.080965,0.142423,0.0993111
0.7,0.0796735,0.145673,0.0991896
0.75,0.0784051,0.148919,0.0990567
0.8,0.0771595,0.152161,0.0989122
0.85,0.0759364,0.155398,0.0987556
0.9,0.0747355,0.158631,0.0985869
0.95,0.0735565,0.161859,0.0984057
1,0.0723989,0.165081,0.0982118
1.05,0.0712626,0.168297,0.0980049
1.1,0.0701471,0.171507,0.0977849
1.15,0.0690522,0.174709,0.0975515
1.2,0.0679776,0.177905,0.0973046
1.25,0.0669228,0.181092,0.097044
1.3,0.0658877,0.184271,0.0967695
1.35,0.0648718,0.187442,0.096481
1.4,0.0638749,0.190604,0.0961784
1.45,0.0628967,0.193755,0.0958615
1.5,0.0619367,0.196897,0.0955302
1.55,0.0609949,0.200029,0.0951845
1.6,0.0600707,0.203149,0.0948243
1.65,0.0591639,0.206257,0.0944495
1.7,0.0582743,0.209354,0.0940602
1.75,0.0574015,0.212438,0.0936562
1.8,0.0565452,0.21551,0.0932376
1.85,0.0557051,0.218568,0.0928044
1.9,0.0548809,0.221612,0.0923567
1.95,0.0540724,0.224641,0.0918944
2,0.0532793,0.227656,0.0914177
2.05,0.0525012,0.230655,0.0909267
2.1,0.0517379,0.233639,0.0904214
2.15,0.0509891,0.236606,0.089902
2.2,0.0502546,0.239556,0.0893686
2.25,0.0495341,0.242489,0.0888213
2.3,0.0488272,0.245405,0.0882604
2.35,0.0481339,0.248302,0.087686
2.4,0.0474537,0.251181,0.0870983
2.45,0.0467864,0.254041,0.0864975
2.5,0.0461319,0.256881,0.0858839
2.55,0.0454897,0.259702,0.0852577
2.6,0.0448598,0.262502,0.0846192
2.65,0.0442418,0.265281,0.0839686
2.7,0.0436356,0.268039,0.0833063
2.75,0.0430408,0.270776,0.0826325
2.8,0.0424573,0.273491,0.0819476
2.85,0.0418848,0.276184,0.0812519
2.9,0.0413231,0.278854,0.0805456
2.95,0.040772,0.281501,0.0798293
3,0.0402312,0.284124,0.0791032
3.05,0.0397007,0.286724,0.0783677
3.1,0.03918,0.2893,0.0776232
3.15,0.0386691,0.291852,0.07687
3.2,0.0381678,0.29438,0.0761086
3.25,0.0376758,0.296882,0.0753394
3.3,0.0371929,0.299359,0.0745627
3.35,0.0367191,0.301811,0.073779
3.4,0.0362539,0.304238,0.0729887
3.45,0.0357974,0.306639,0.0721923
3.5,0.0353493,0.309013,0.07139
3.55,0.0349094,0.311362,0.0705825
3.6,0.0344775,0.313684,0.0697701
3.65,0.0340536,0.315979,0.0689531
3.7,0.0336373,0.318248,0.0681322
3.75,0.0332286,0.32049,0.0673076
3.8,0.0328273,0.322705,0.0664799
3.85,0.0324332,0.324893,0.0656494
3.9,0.0320462,0.327053,0.0648166
3.95,0.0316661,0.329187,0.0639819
4,0.0312928,0.331293,0.0631457
4.05,0.0309261,0.333371,0.0623085
4.1,0.0305659,0.335422,0.0614706
4.15,0.0302121,0.337446,0.0606324
4.2,0.0298644,0.339442,0.0597944
4.25,0.0295229,0.341411,0.058957
4.3,0.0291872,0.343352,0.0581205
4.35,0.0288574,0.345266,0.0572852
4.4,0.0285332,0.347152,0.0564517
4.45,0.0282147,0.349011,0.0556203
4.5,0.0279015,0.350843,0.0547912
4.55,0.0275937,0.352648,0.0539649
4.6,0.027291,0.354425,0.0531417
4.65,0.0269935,0.356175,0.052322
4.7,0.0267009,0.357899,0.051506
4.75,0.0264133,0.359595,0.050694
4.8,0.0261303,0.361265,0.0498864
4.85,0.0258521,0.362909,0.0490835
4.9,0.0255784,0.364525,0.0482855
4.95,0.0253091,0.366116,0.0474927
5,0.0250442,0.367681,0.0467053
